attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage
97.41,89.79,7.86,9.94,1,5,4.15,Employee,100.0
52.11,50.19,74.13,5.89,7,2,1.93,Manager,62.34
98.02,87.72,27.82,9.9,7,1,4.02,Employee,100.0
87.24,95.44,22.52,9.69,8,3,4.11,HR,100.0
80.88,73.29,57.63,6.38,6,1,3.98,Team Lead,92.49
93.61,99.18,0.44,8.48,1,1,4.32,Team Lead,100.0
77.82,65.27,38.48,7.88,14,5,2.95,Team Lead,100.0
93.71,94.65,18.16,9.36,2,5,4.87,Employee,100.0
71.74,70.9,40.09,6.93,2,1,3.78,Manager,86.76
61.93,58.45,74.58,4.25,1,1,1.67,HR,47.68
81.13,77.52,58.69,7.0,12,5,3.88,Manager,100.0
78.71,71.52,53.4,6.21,5,4,3.34,Team Lead,80.2
84.68,76.46,54.98,7.5,9,2,3.41,HR,100.0
96.22,98.12,25.91,9.35,5,2,4.21,Team Lead,100.0
58.61,41.51,73.43,5.53,6,2,2.19,HR,59.0
82.11,79.12,58.85,7.74,9,5,2.82,Employee,93.33
86.29,82.8,5.86,9.26,3,3,4.11,HR,100.0
86.44,83.38,17.93,8.08,4,4,4.84,HR,100.0
52.93,43.76,81.63,5.32,9,3,1.39,Employee,55.6
90.9,89.27,9.05,9.33,9,5,4.94,HR,100.0
60.93,64.59,63.62,5.41,10,2,1.58,HR,72.83
84.47,75.63,53.11,6.22,1,2,2.89,Manager,76.76
77.88,66.72,59.75,6.6,5,1,3.45,Employee,85.82
78.87,72.92,56.24,7.41,2,5,3.9,Employee,80.88
85.02,99.27,16.68,9.66,2,4,4.37,Manager,100.0
95.42,93.41,0.27,8.14,4,1,4.5,Team Lead,100.0
79.19,67.61,57.86,6.98,2,5,3.92,Team Lead,76.98
87.97,90.1,13.81,9.52,1,5,4.5,Team Lead,100.0
56.1,64.91,74.65,5.92,1,2,1.63,Team Lead,54.32
73.57,74.88,44.53,6.32,11,4,3.28,Team Lead,93.94
85.73,93.93,25.24,9.3,9,2,4.57,Team Lead,100.0
93.06,80.55,29.75,9.58,9,3,4.09,Manager,100.0
69.81,40.31,73.55,4.5,1,5,1.85,HR,38.6
79.87,70.34,37.78,7.52,13,3,3.61,HR,100.0
98.25,82.67,22.64,8.06,10,3,4.35,Manager,100.0
97.15,92.44,23.33,9.61,9,2,4.47,Manager,100.0
76.13,66.12,51.2,6.81,9,3,3.9,Team Lead,94.15
68.53,49.62,63.2,4.02,3,4,2.38,Manager,49.35
57.02,53.88,86.39,4.33,13,5,1.76,Manager,59.58
61.35,47.1,85.24,5.6,12,4,2.08,Manager,66.81
63.89,45.36,80.62,5.19,4,1,1.55,Manager,53.16
99.77,86.89,19.61,9.38,13,2,4.63,Team Lead,100.0
80.18,72.15,35.15,6.94,2,3,2.67,Manager,80.68
94.56,96.11,0.74,8.68,6,1,4.46,HR,100.0
64.66,53.44,83.12,5.52,8,4,2.29,Employee,62.62
89.96,81.78,3.67,9.47,1,4,4.19,Team Lead,100.0
74.14,73.68,54.59,7.55,9,3,3.53,HR,97.09
69.87,54.59,80.27,5.45,13,4,1.6,Team Lead,71.04
76.75,70.24,59.81,6.34,9,1,2.83,Manager,90.12
70.31,67.15,55.25,7.49,6,1,3.64,Team Lead,92.31
88.09,94.46,10.39,8.12,1,3,4.12,HR,100.0
72.21,65.27,36.94,6.67,11,1,2.86,Manager,97.9
62.42,47.38,71.32,5.49,7,1,1.63,HR,63.15
71.01,72.18,36.58,6.0,9,4,3.72,Manager,90.7
97.75,84.63,29.58,8.04,9,5,4.32,Team Lead,100.0
67.35,40.46,63.86,4.99,14,3,1.69,Manager,71.62
52.28,64.83,61.03,4.73,5,4,1.64,Manager,54.14
98.0,97.86,16.24,9.81,6,2,4.64,HR,100.0
89.54,96.23,23.0,8.97,8,4,4.46,Manager,100.0
74.16,75.9,31.47,6.67,7,4,3.2,Manager,90.35
95.82,85.1,2.68,8.16,6,4,4.43,Team Lead,100.0
95.23,81.0,26.34,8.77,5,5,4.32,Manager,100.0
68.55,53.36,80.66,4.94,6,2,1.36,Team Lead,56.55
80.78,76.78,52.05,6.68,7,2,3.56,Employee,93.99
96.61,87.73,18.86,9.8,2,3,4.52,Manager,100.0
90.23,84.54,7.68,9.35,14,3,4.16,HR,100.0
82.78,79.86,46.86,6.43,12,4,3.4,Employee,100.0
91.6,81.53,0.17,9.94,3,3,4.94,HR,100.0
78.08,65.77,54.52,7.62,11,2,2.68,Manager,97.84
83.66,79.17,59.78,6.96,7,4,2.7,Team Lead,87.01
92.1,80.19,15.04,9.17,5,1,4.71,HR,100.0
52.56,46.49,68.39,5.93,1,4,2.17,Team Lead,47.91
77.69,70.56,57.72,7.45,10,4,3.54,Team Lead,96.0
60.1,47.81,78.75,5.59,6,4,1.28,Manager,52.0
62.83,52.96,74.26,4.67,7,3,2.31,Employee,59.67
50.71,54.13,65.02,4.44,8,5,2.38,Employee,56.0
80.45,65.32,45.14,7.5,13,1,2.83,Team Lead,100.0
74.17,79.46,35.08,7.33,10,2,2.74,HR,100.0
98.31,80.86,27.14,8.11,13,5,4.74,HR,100.0
53.04,51.8,81.98,4.93,10,5,1.3,Team Lead,53.59
76.05,75.62,59.91,6.71,6,5,2.87,HR,79.66
87.48,81.22,23.44,9.66,9,2,4.08,Manager,100.0
67.48,41.26,72.73,4.36,4,1,1.03,Team Lead,47.69
78.76,79.17,59.68,6.2,5,5,3.75,Employee,81.28
99.48,95.71,21.46,9.65,4,3,4.65,Employee,100.0
50.99,45.79,60.56,5.36,7,4,1.03,Manager,52.3
51.25,45.26,84.27,4.29,8,2,1.51,Manager,50.58
82.99,72.34,34.2,6.38,1,4,2.61,HR,74.53
70.7,71.85,31.66,6.86,2,4,3.28,HR,79.63
55.77,61.63,80.51,4.94,8,2,1.73,HR,61.67
50.48,44.6,89.87,5.83,9,5,1.35,Team Lead,51.94
66.75,56.92,89.62,5.65,10,1,1.3,Manager,68.6
82.84,67.62,49.5,7.91,11,3,3.67,Manager,100.0
73.33,77.98,50.18,6.78,3,2,3.25,Manager,83.85
89.32,86.52,7.04,9.46,5,5,4.4,HR,100.0
59.79,50.38,81.77,4.44,3,3,1.58,Team Lead,43.8
91.02,93.02,11.47,9.93,3,3,4.21,Manager,100.0
52.91,63.44,65.65,4.35,1,4,1.55,Employee,42.61
84.8,68.23,40.96,7.56,13,2,3.62,Manager,100.0
81.04,73.65,55.84,6.96,14,1,2.77,Employee,100.0
84.82,71.81,50.65,6.28,8,3,3.23,Manager,90.17
77.72,67.46,48.16,6.52,10,2,3.72,Team Lead,97.23
62.12,42.52,83.54,4.92,13,5,2.14,HR,62.9
96.26,86.7,10.82,8.45,9,1,4.75,Team Lead,100.0
91.38,99.53,9.7,9.02,6,2,4.35,Manager,100.0
85.22,85.29,15.42,9.15,9,5,4.93,Manager,100.0
73.54,67.08,45.41,7.47,13,4,2.62,HR,97.87
88.93,90.27,19.31,8.95,8,1,4.21,Manager,100.0
56.57,51.0,62.53,4.47,4,1,1.15,Manager,51.0
84.66,79.58,40.31,6.73,10,4,2.99,Employee,97.6
70.88,71.3,41.3,7.19,5,4,3.22,HR,84.95
80.95,71.44,31.18,7.7,2,2,3.08,Team Lead,89.36
89.81,87.42,26.93,9.55,1,3,4.59,Employee,100.0
88.3,85.92,14.6,9.94,11,1,4.98,HR,100.0
87.43,93.12,14.22,8.76,7,5,4.79,Manager,100.0
70.33,78.36,47.24,6.04,7,3,3.99,Team Lead,89.78
97.69,99.61,15.77,8.64,3,1,4.21,Team Lead,100.0
66.26,63.53,87.79,4.05,3,3,1.03,Team Lead,43.46
80.68,79.01,38.39,7.45,1,1,3.4,HR,90.43
61.26,49.35,80.98,5.12,12,3,1.05,Manager,62.73
76.97,68.91,31.91,6.43,12,1,3.9,Employee,100.0
72.75,67.44,38.31,6.81,14,3,2.69,Manager,100.0
86.61,91.3,21.79,9.5,4,3,4.59,Employee,100.0
55.08,58.97,77.93,4.51,12,5,2.34,Employee,64.1
75.49,65.19,48.9,7.44,13,5,3.41,Team Lead,98.88
96.89,83.96,7.9,9.01,1,5,4.28,Employee,100.0
90.39,90.6,22.58,9.32,4,5,4.89,Employee,100.0
69.94,56.12,85.09,4.39,1,3,1.2,Employee,41.25
95.6,97.26,4.4,8.49,13,5,4.21,Manager,100.0
91.12,85.59,0.76,8.91,10,5,4.63,HR,100.0
54.37,54.88,67.94,5.32,4,4,2.22,HR,54.2
91.77,97.42,12.71,9.17,6,5,4.21,Team Lead,100.0
61.17,42.4,69.29,5.21,10,1,1.21,HR,64.26
78.64,69.27,59.5,7.66,12,3,3.81,Team Lead,100.0
90.58,98.94,27.35,9.25,5,2,4.58,HR,100.0
69.1,48.63,80.09,4.02,5,3,1.66,Team Lead,48.24
84.02,78.19,50.7,6.99,13,4,2.77,Team Lead,100.0
80.65,75.41,55.52,7.73,1,1,3.67,Manager,88.7
64.19,47.81,75.94,5.8,7,3,2.27,HR,63.55
50.6,63.95,66.5,4.1,12,3,1.44,HR,64.22
65.17,62.99,76.22,4.23,6,1,1.65,Employee,59.35
88.33,91.62,9.27,8.5,8,5,4.19,Manager,100.0
97.36,91.26,13.96,9.43,14,5,4.39,HR,100.0
57.55,40.5,69.66,4.42,12,1,1.49,Employee,64.18
65.83,43.94,81.65,5.9,13,5,1.31,Team Lead,65.34
50.8,53.67,62.82,4.44,5,4,2.25,Employee,51.71
82.95,77.31,35.27,6.43,2,3,3.92,HR,86.6
84.42,76.54,44.65,6.68,1,2,3.32,Employee,83.14
82.66,75.32,49.81,7.0,11,3,3.52,Manager,100.0
91.26,85.87,23.87,9.84,2,5,4.34,HR,100.0
98.92,97.43,23.74,9.39,4,5,4.52,Employee,100.0
53.42,53.25,77.48,4.7,1,5,1.71,Team Lead,37.88
85.16,93.01,0.53,9.33,3,1,4.84,Manager,100.0
79.54,73.93,41.56,6.39,6,2,3.63,HR,91.86
78.58,70.2,57.36,7.01,2,3,2.76,Employee,76.1
76.6,71.3,45.66,7.06,7,5,2.84,Manager,84.9
82.9,75.56,30.98,7.2,5,4,3.87,HR,94.56
78.47,71.86,57.17,6.92,3,5,2.66,HR,73.6
92.16,94.57,9.67,9.19,4,3,4.44,HR,100.0
62.48,48.82,67.92,4.43,10,4,1.12,HR,56.41
55.71,47.33,76.03,4.09,1,5,1.86,HR,34.69
60.4,63.61,70.41,4.06,3,3,1.54,Team Lead,48.13
56.52,51.47,89.09,5.87,7,3,1.76,Manager,57.9
92.58,98.31,4.05,8.99,12,5,4.36,Team Lead,100.0
64.6,62.2,71.8,4.27,9,4,1.88,Employee,61.2
85.27,93.23,18.34,8.05,4,4,4.07,Manager,100.0
67.11,41.13,79.99,5.75,14,5,1.5,Team Lead,67.39
87.94,84.27,7.41,9.95,6,1,4.71,Employee,100.0
61.74,42.64,74.59,4.38,6,5,1.02,Manager,42.3
95.39,91.35,22.08,8.46,3,4,4.49,Manager,100.0
64.28,42.93,88.44,5.24,9,2,2.15,Employee,62.18
90.03,89.41,29.54,9.68,2,2,4.79,HR,100.0
65.56,53.66,69.7,4.28,12,3,1.39,Manager,64.88
64.31,51.14,69.64,5.78,4,1,1.01,Manager,57.48
66.89,60.17,84.78,5.66,8,3,2.29,Employee,67.53
75.34,73.57,46.35,6.27,6,5,3.91,Team Lead,84.55
61.88,56.85,76.15,5.1,12,2,2.3,Team Lead,74.28
84.92,73.49,53.64,6.75,3,4,3.4,Team Lead,81.28
53.47,43.95,78.39,4.78,8,4,2.3,HR,54.24
52.1,57.09,83.39,5.1,3,1,1.27,HR,49.35
54.4,53.13,86.63,5.69,13,4,2.2,Manager,69.64
73.41,65.01,39.4,6.78,1,2,2.85,Team Lead,76.12
78.56,65.13,33.87,6.38,14,4,3.73,Team Lead,100.0
98.34,84.14,12.06,9.44,2,1,4.49,Team Lead,100.0
92.72,91.94,0.98,8.83,12,5,4.83,HR,100.0
51.2,40.18,60.22,4.41,12,1,1.33,Team Lead,63.5
69.49,49.76,87.29,4.45,3,1,1.28,Manager,47.52
99.47,97.91,25.26,9.56,3,5,4.53,Employee,100.0
56.34,64.35,80.02,4.85,5,4,2.32,Manager,55.23
69.89,45.82,61.61,4.38,13,2,1.06,HR,68.09
91.95,94.16,7.36,8.45,9,3,4.73,Employee,100.0
84.16,67.77,36.8,7.35,13,5,3.48,HR,100.0
94.06,98.4,4.23,8.9,2,4,4.95,Team Lead,100.0
58.01,48.93,64.98,4.7,9,2,2.42,Team Lead,65.81
91.04,84.43,4.08,8.48,12,5,4.87,HR,100.0
86.36,98.46,20.68,8.25,5,5,4.36,HR,100.0
51.46,58.21,73.06,4.63,7,4,1.73,Employee,53.51
57.62,52.51,71.86,5.82,1,4,1.3,Team Lead,45.42
53.39,50.45,66.42,5.41,4,5,1.57,Team Lead,48.07
71.6,75.24,34.09,6.59,5,4,3.25,Employee,84.84
80.24,74.67,32.53,7.99,1,3,2.77,HR,85.76
93.39,86.14,2.92,9.79,14,2,4.6,HR,100.0
67.88,44.66,65.08,4.32,7,5,2.18,Manager,53.84
72.85,68.41,34.27,7.89,1,4,2.69,HR,78.76
79.35,75.75,34.38,7.69,3,3,2.77,Manager,87.97
94.52,89.38,6.73,9.38,6,3,4.18,Manager,100.0
66.0,52.37,61.55,5.22,13,1,1.64,Team Lead,78.19
89.66,97.24,16.07,9.39,12,2,4.71,HR,100.0
59.25,57.45,79.67,4.47,14,3,1.5,Team Lead,67.96
90.48,80.6,2.28,8.4,12,5,4.79,HR,100.0
63.58,63.02,68.59,4.87,8,1,1.16,Employee,65.2
73.74,78.36,51.56,6.15,8,2,3.73,HR,93.02
91.09,93.62,23.81,8.49,9,5,4.98,Manager,100.0
72.52,68.61,33.71,7.45,1,1,3.62,Manager,87.29
51.6,53.45,83.35,4.91,12,3,1.16,Manager,60.6
93.73,80.48,5.21,9.22,5,1,4.58,Employee,100.0
57.08,59.61,66.21,4.39,6,5,2.22,Team Lead,53.94
96.66,91.66,12.54,9.21,10,3,4.9,Employee,100.0
90.61,94.38,10.93,8.67,3,4,4.66,Team Lead,100.0
65.3,51.51,60.66,4.43,8,4,2.28,HR,61.2
93.44,94.09,3.76,8.32,1,2,4.02,Manager,100.0
57.91,61.64,64.77,5.66,5,5,1.54,HR,56.02
84.17,75.64,42.65,6.85,9,2,3.88,Manager,100.0
87.21,85.59,8.46,8.93,2,4,4.95,Employee,100.0
80.24,68.41,36.45,7.33,10,2,2.78,Employee,99.85
54.63,60.11,73.77,5.52,3,2,1.69,Team Lead,54.98
51.74,41.9,76.65,5.46,11,3,1.9,Manager,63.0
51.94,61.27,61.48,4.57,5,3,2.41,Team Lead,57.95
55.68,52.03,78.83,4.3,10,4,1.52,HR,54.87
85.67,91.84,12.3,9.54,5,2,4.95,Employee,100.0
82.34,65.94,44.83,6.95,4,2,2.97,Team Lead,84.98
72.45,74.61,54.4,6.7,12,3,3.39,Team Lead,98.07
67.78,52.39,86.85,4.13,8,3,2.37,Team Lead,57.79
95.91,80.22,4.02,8.72,6,5,4.63,HR,100.0
70.62,67.53,35.37,6.89,8,5,2.56,Team Lead,84.12
97.71,89.89,5.86,9.47,5,2,4.42,HR,100.0
86.9,83.58,23.78,8.55,13,4,4.95,Manager,100.0
86.31,88.87,21.77,8.91,13,5,4.88,Team Lead,100.0
72.0,78.78,31.03,6.19,1,4,3.76,Team Lead,79.16
62.37,61.81,87.6,5.37,3,4,2.07,Employee,51.82
51.94,54.96,80.32,5.51,4,2,1.5,Manager,52.45
61.41,41.1,64.49,5.84,11,5,1.35,Employee,62.76
99.27,94.96,20.07,8.26,9,4,4.58,HR,100.0
98.75,90.62,21.33,8.25,10,3,4.36,Team Lead,100.0
61.71,46.41,88.02,4.26,8,3,2.2,Manager,54.04
90.91,94.24,24.46,8.96,13,2,4.18,HR,100.0
77.99,77.69,46.27,6.86,14,5,3.94,HR,100.0
54.69,53.77,85.7,5.62,7,5,1.28,Manager,51.15
96.09,90.98,25.78,9.96,11,4,4.1,Team Lead,100.0
99.54,82.73,21.94,8.82,8,2,4.22,HR,100.0
77.21,76.78,47.49,6.19,14,2,3.33,Team Lead,100.0
75.48,71.5,42.23,7.42,8,3,3.35,Manager,95.69
85.14,92.05,9.36,8.17,8,3,4.78,HR,100.0
52.0,51.62,66.36,4.63,10,4,1.7,Employee,58.9
56.61,50.65,80.74,4.53,8,1,1.24,Team Lead,56.05
67.56,60.23,77.03,6.0,1,5,2.43,Team Lead,53.69
80.26,67.65,33.24,7.78,12,4,3.55,Employee,100.0
81.79,75.3,36.27,7.68,3,1,3.79,Employee,97.11
50.58,52.99,88.29,5.68,8,5,1.96,Team Lead,55.07
71.39,72.26,32.73,6.16,8,5,3.45,Employee,87.03
65.49,56.89,78.94,4.87,10,1,1.75,Employee,68.76
51.15,53.47,80.49,5.89,5,2,1.21,Manager,54.26
60.24,52.48,73.52,5.84,5,3,1.31,Team Lead,55.88
61.87,44.01,63.37,4.44,10,5,2.16,Manager,59.01
69.55,45.38,75.42,5.47,8,4,1.97,Manager,61.1
87.86,84.4,4.11,8.8,12,1,4.07,Employee,100.0
65.7,51.94,79.92,4.35,7,4,1.53,Team Lead,51.42
88.41,81.0,21.94,9.37,10,1,4.6,Employee,100.0
78.35,75.42,38.51,7.3,6,3,2.57,Team Lead,89.85
78.75,72.74,49.36,7.22,9,1,2.81,Manager,97.81
73.76,77.56,31.0,6.57,2,4,2.89,Employee,78.77
86.55,93.65,12.73,8.29,6,1,4.9,Employee,100.0
73.93,66.02,42.65,6.2,13,4,2.92,Manager,93.33
76.58,76.4,42.61,7.89,7,5,3.85,Team Lead,96.25
91.66,99.88,11.2,8.33,9,4,4.62,Employee,100.0
72.3,66.99,32.56,6.6,13,5,2.84,Manager,94.9
71.75,65.22,58.39,6.39,2,2,3.74,Team Lead,76.46
75.31,72.49,55.35,7.52,11,5,3.17,HR,94.97
74.28,69.65,52.01,7.61,4,4,3.05,HR,82.35
96.88,87.41,21.36,9.85,7,1,4.62,Employee,100.0
62.99,47.49,74.74,5.72,12,2,2.32,Team Lead,75.23
87.08,86.83,24.23,8.4,11,4,4.89,Team Lead,100.0
68.52,63.47,67.53,5.07,8,1,1.23,Employee,68.17
55.79,62.0,75.23,5.73,6,4,1.02,HR,55.26
65.77,54.49,78.35,4.66,11,2,1.79,Team Lead,67.34
50.67,43.73,84.58,5.85,9,4,1.11,Manager,53.7
59.14,55.72,82.34,4.28,1,4,1.25,Team Lead,36.67
94.98,85.22,1.28,9.27,1,1,4.01,Team Lead,100.0
98.0,92.54,17.81,8.06,9,1,4.28,Manager,100.0
81.92,74.28,43.43,6.24,5,2,3.13,Manager,86.96
83.28,79.1,51.8,7.38,2,2,3.85,HR,90.34
57.62,58.67,72.91,5.54,13,1,1.41,Manager,76.17
75.87,72.9,43.35,6.91,2,5,2.6,Manager,73.75
98.09,89.29,6.71,8.26,7,2,4.14,Manager,100.0
75.12,68.65,48.5,6.03,9,5,3.26,Manager,84.09
72.56,74.89,51.47,6.34,5,1,2.67,Employee,83.37
63.29,51.55,85.83,5.8,9,1,1.84,Manager,68.37
72.81,77.82,50.99,6.37,1,5,3.73,Manager,73.83
53.82,44.69,68.03,4.05,9,2,1.86,HR,56.77
72.53,71.31,54.18,7.71,6,3,3.22,Team Lead,89.32
88.32,86.21,14.06,8.22,4,5,4.25,Employee,100.0
90.93,86.05,20.84,8.95,6,4,4.38,Manager,100.0
77.44,74.47,39.94,7.11,8,4,2.89,Manager,91.68
75.53,79.82,31.44,7.29,5,2,2.65,Team Lead,92.23
77.25,78.97,50.1,7.64,9,3,2.67,Manager,96.56
80.48,79.23,48.96,6.56,9,4,2.96,Employee,91.7
88.03,88.28,26.59,9.58,5,3,4.43,Manager,100.0
76.21,78.23,54.98,6.32,14,5,3.44,Employee,98.33
89.99,81.71,17.51,9.75,11,1,4.71,Employee,100.0
79.4,75.87,35.13,6.32,3,3,2.9,Employee,81.64
88.79,97.14,25.74,8.01,2,2,4.31,Team Lead,100.0
85.87,95.1,29.3,9.49,7,3,4.11,Manager,100.0
51.94,64.37,65.43,4.76,2,1,2.04,Team Lead,55.21
95.44,86.26,23.83,9.45,1,5,4.04,HR,100.0
79.38,67.4,51.9,6.01,1,3,3.46,Team Lead,73.05
57.85,54.17,61.4,5.4,5,4,1.11,Manager,53.0
99.54,90.9,24.15,9.41,12,3,4.87,Team Lead,100.0
95.89,90.05,22.83,8.3,12,3,4.03,Team Lead,100.0
92.19,84.56,21.43,8.57,11,3,4.35,Team Lead,100.0
69.97,40.3,86.12,5.36,10,3,1.21,Manager,59.18
53.25,40.6,64.07,4.65,14,5,2.39,Manager,65.85
56.31,44.65,78.71,5.83,14,2,1.38,Employee,71.76
58.29,51.03,67.04,5.48,6,2,1.7,Employee,60.41
74.84,76.36,53.8,7.39,14,5,2.55,HR,98.55
91.93,80.55,1.9,9.95,13,2,4.41,Manager,100.0
86.48,99.88,2.16,8.41,9,1,4.76,Manager,100.0
92.64,84.73,2.56,9.43,10,2,4.53,Employee,100.0
59.1,54.49,87.22,5.97,12,4,1.26,Team Lead,65.81
56.59,49.72,69.19,4.27,4,1,1.38,HR,49.46
54.51,52.35,66.14,5.96,2,1,1.11,Employee,53.47
88.77,91.55,17.94,8.09,6,1,4.65,Employee,100.0
95.31,94.39,28.64,9.56,5,5,4.14,HR,100.0
77.34,67.36,50.78,7.64,4,5,3.56,HR,83.38
78.9,75.91,41.23,6.25,6,4,2.51,HR,82.02
86.47,94.05,23.03,9.49,14,2,4.25,Manager,100.0
54.77,59.28,83.55,4.37,4,5,1.13,Manager,40.27
87.65,87.45,1.97,8.55,7,2,4.92,Manager,100.0
53.33,40.86,63.46,4.16,2,2,2.04,Manager,43.88
61.53,44.13,75.05,4.15,9,3,2.36,Employee,58.17
79.52,68.46,37.63,6.44,13,2,2.74,Manager,100.0
88.66,92.71,11.24,9.28,13,3,4.6,HR,100.0
98.8,96.7,26.47,9.81,5,4,4.39,Manager,100.0
54.29,57.4,78.47,4.42,7,3,1.36,HR,52.01
86.13,90.08,25.05,9.66,12,4,4.23,Employee,100.0
95.38,90.67,19.17,9.03,12,5,4.68,Team Lead,100.0
81.75,74.98,55.76,7.89,2,4,3.72,HR,85.83
92.18,85.34,20.62,9.56,8,5,4.4,Manager,100.0
55.4,60.75,87.05,4.84,2,2,1.02,Employee,43.94
67.25,45.64,61.02,4.83,6,2,1.1,Manager,55.92
50.02,52.86,62.53,5.68,1,4,2.3,Team Lead,49.74
80.12,70.68,36.0,7.74,5,5,3.88,Team Lead,92.17
95.16,88.78,23.09,8.26,6,2,4.21,Team Lead,100.0
94.46,83.69,19.49,8.98,12,5,4.21,HR,100.0
83.63,65.16,48.01,7.88,3,5,3.04,Manager,81.48
70.98,75.9,55.22,7.49,2,2,2.96,HR,81.69
63.02,40.37,71.13,4.96,3,3,1.45,Team Lead,45.69
83.15,79.09,57.83,6.16,2,1,3.96,Manager,85.54
72.35,67.68,59.63,6.89,12,3,3.34,Manager,95.6
63.66,43.97,62.53,4.53,8,1,2.11,Employee,63.81
78.9,66.57,52.81,7.13,2,1,3.95,HR,86.57
99.44,85.04,14.92,8.6,1,3,4.28,Employee,100.0
53.69,48.53,76.31,5.42,5,4,1.32,Employee,48.42
65.03,44.53,61.35,4.16,13,1,1.99,Team Lead,72.08
92.83,91.99,3.02,8.76,11,2,4.01,Manager,100.0
75.86,65.76,32.29,7.41,1,1,2.61,Employee,82.31
88.57,92.34,29.87,8.55,2,5,4.28,Employee,100.0
52.6,61.78,76.74,4.69,4,3,1.36,HR,48.63
94.52,92.33,14.56,8.51,12,2,4.68,Team Lead,100.0
61.65,43.95,88.74,5.09,8,3,1.28,HR,52.72
50.35,55.06,88.48,4.33,8,5,1.26,Employee,45.35
56.65,42.29,85.6,4.84,9,4,1.22,HR,50.04
98.02,89.02,0.46,8.85,10,4,4.61,Employee,100.0
51.79,59.12,89.44,5.02,1,2,1.57,Manager,43.76
83.67,74.6,48.94,6.56,2,5,3.39,Team Lead,77.27
91.81,90.44,5.64,9.7,2,5,4.74,Employee,100.0
93.83,96.76,20.03,8.61,8,2,4.35,Manager,100.0
56.28,40.82,79.94,4.05,1,4,1.07,Team Lead,30.0
91.22,89.28,23.78,9.43,5,4,4.78,Team Lead,100.0
87.73,95.21,7.18,9.51,10,4,4.3,HR,100.0
65.61,47.84,70.6,4.71,8,2,1.25,Manager,58.43
57.67,42.38,67.32,5.23,3,5,2.12,Employee,46.42
84.96,65.52,55.25,6.47,3,3,3.09,Employee,77.65
76.86,66.58,49.92,6.84,12,1,3.11,Team Lead,100.0
87.94,94.3,16.02,8.38,7,3,4.65,Manager,100.0
65.02,58.09,74.17,5.91,6,2,1.94,HR,66.1
95.22,80.42,21.62,9.15,9,2,4.42,Employee,100.0
93.85,93.99,10.66,9.26,12,1,4.77,HR,100.0
90.83,80.53,27.12,8.04,1,5,4.03,Employee,93.79
86.88,93.04,16.16,8.81,5,4,4.67,Manager,100.0
64.31,52.49,77.39,5.51,6,3,1.01,Manager,54.92
81.57,73.83,38.25,7.88,9,4,3.48,Employee,100.0
86.45,88.84,17.93,8.17,4,3,4.44,Team Lead,100.0
60.62,64.63,82.05,4.74,11,5,1.7,HR,62.36
85.72,89.73,7.42,8.86,7,3,4.29,Employee,100.0
51.38,63.28,78.16,4.65,3,1,1.52,Manager,51.06
53.86,47.07,84.05,5.89,3,2,1.41,Employee,49.27
95.89,94.33,13.31,8.41,13,2,4.92,Employee,100.0
66.22,63.5,89.82,5.87,13,2,2.07,HR,79.39
88.1,88.95,26.25,8.48,6,1,4.88,Team Lead,100.0
72.04,69.89,42.31,7.84,9,1,3.13,Manager,100.0
97.8,91.85,25.83,9.49,5,3,4.25,Employee,100.0
59.62,64.17,68.5,4.77,5,4,2.05,Employee,56.55
61.64,50.58,66.82,4.88,14,1,1.53,Team Lead,75.24
73.92,78.24,42.28,7.61,5,5,3.54,HR,89.27
79.4,71.94,51.86,7.73,3,5,3.2,Team Lead,81.71
88.04,88.99,24.51,9.47,3,4,4.8,Manager,100.0
96.27,84.08,1.17,8.97,14,2,4.67,Employee,100.0
62.95,41.18,71.22,4.17,7,3,1.01,Manager,47.7
58.79,59.13,63.4,4.91,3,2,2.09,HR,56.73
75.95,73.12,40.4,6.18,4,5,2.97,Employee,76.6
72.9,65.93,39.13,7.69,1,2,2.99,Team Lead,81.61
74.82,72.93,39.81,6.88,8,3,3.25,Team Lead,93.24
92.34,87.97,9.47,9.54,12,1,4.06,Employee,100.0
90.7,93.55,15.72,9.88,2,4,4.05,Team Lead,100.0
54.08,45.93,60.88,5.28,14,1,1.56,Manager,75.29
94.75,88.7,0.62,9.6,9,1,4.27,Employee,100.0
57.15,57.39,74.58,4.7,11,1,1.23,Employee,66.27
76.17,72.78,31.01,7.35,2,1,3.11,HR,88.95
90.14,96.66,6.61,9.86,14,4,4.74,Manager,100.0
75.69,76.57,45.54,7.41,10,4,3.84,Team Lead,100.0
89.65,93.72,5.32,9.04,6,1,4.5,Team Lead,100.0
78.72,68.39,31.24,6.35,13,5,2.57,Team Lead,94.53
83.85,76.41,44.79,7.15,7,2,2.72,Team Lead,94.25
83.27,78.27,43.83,7.4,3,5,2.77,Manager,82.37
69.15,42.19,60.13,5.35,13,4,1.92,HR,72.26
76.87,67.18,53.71,6.21,10,5,3.33,Employee,86.36
63.3,53.2,85.33,4.9,8,5,1.9,Employee,54.72
96.86,81.51,2.06,9.07,13,4,4.16,Team Lead,100.0
80.25,76.76,37.76,6.48,5,2,3.71,Employee,92.48
87.87,85.2,21.29,9.72,12,2,4.38,Employee,100.0
99.22,80.85,3.8,9.69,1,5,4.18,Team Lead,100.0
