attendance_consistency,task_completion,task_delay_rate,work_hours,productive_hours,idle_time_hours,overtime_hours,experience,feedback_score,project_complexity,peer_collaboration_score,manager_rating,training_hours,learning_inde,performance_percentage,role
0.85,85.0,0.23,9.9,9.0,0.9,5,15,3,5,4,3,2.0,0.83,88.0,1.0
0.75,86.0,0.01,8.5,8.0,0.5,0,3,2,3,3,4,3.0,0.79,94.0,0.0
0.9,95.0,0.09,9.9,9.3,0.6,0,9,4,1,3,3,10.5,0.8,85.0,0.0
0.69,93.0,0.15,7.0,6.3,0.7,5,1,4,4,3,5,2.0,0.59,85.0,0.0
0.85,74.0,0.03,7.6,6.6,1.0,2,7,5,3,3,3,1.0,0.75,81.0,0.0
0.93,70.0,0.09,8.0,7.0,1.0,5,1,1,1,4,4,8.0,0.33,90.0,0.0
1.0,97.0,0.03,7.9,7.0,0.9,3,3,3,4,5,4,8.0,0.82,92.0,0.0
0.96,88.0,0.2,7.5,6.0,1.5,1,3,4,3,2,4,6.0,0.91,93.0,0.0
0.81,89.0,0.01,7.4,7.0,0.4,0,0,2,4,3,4,2.0,0.9,85.0,0.0
0.89,91.0,0.08,7.5,6.9,0.6,4,1,4,3,5,5,2.0,0.79,89.0,0.0
0.8,84.0,0.13,8.6,7.6,1.0,2,7,5,2,4,4,4.0,0.84,98.0,0.0
0.74,82.0,0.09,6.2,5.3,0.9,4,1,2,2,1,3,9.0,0.54,84.0,0.0
0.83,95.0,0.23,8.0,7.2,0.8,1,10,3,5,1,3,5.0,0.56,78.0,0.0
0.79,91.0,0.18,10.0,7.8,2.0,1,5,5,4,3,5,4.0,0.75,73.0,0.0
0.93,68.0,0.17,6.5,6.4,0.1,5,2,5,3,3,3,7.0,0.96,79.0,0.0
0.98,79.0,0.2,8.9,7.8,1.1,0,14,4,3,1,4,3.0,0.55,86.0,0.0
0.76,74.0,0.14,8.3,6.9,1.4,1,16,5,3,4,1,3.0,0.78,97.0,0.0
0.84,94.0,0.07,8.4,6.7,1.7,2,1,5,2,3,3,5.0,0.74,97.0,0.0
0.81,92.0,0.12,6.9,6.5,0.4,2,0,5,3,3,2,4.0,0.97,80.0,0.0
0.79,77.0,0.12,10.0,9.7,0.3,1,8,3,3,4,4,3.0,0.93,96.0,0.0
1.0,80.0,0.04,7.1,6.8,0.3,3,1,5,4,5,4,4.0,0.72,81.0,0.0
1.0,86.0,0.06,7.8,7.2,0.6,0,3,4,3,5,3,2.0,0.86,94.0,0.0
0.85,100.0,0.06,7.1,6.5,0.6,1,2,5,5,4,3,7.0,0.81,93.0,0.0
0.88,95.0,0.04,8.6,6.8,1.8,2,16,5,3,5,3,3.0,0.68,75.0,1.0
0.79,85.0,0.06,7.2,6.6,0.6,2,3,5,4,2,3,6.0,0.74,98.0,1.0
0.73,91.0,0.11,8.2,7.1,1.1,0,2,1,3,3,3,5.0,0.7,99.0,0.0
0.77,74.0,0.18,6.5,5.6,0.9,3,8,4,1,4,4,4.0,0.96,94.0,0.0
0.79,73.0,0.05,6.1,6.1,0.0,0,0,4,5,4,5,4.0,0.81,96.0,0.0
0.81,78.0,0.01,7.5,7.1,0.4,2,5,4,3,4,3,3.0,0.89,82.0,1.0
0.79,87.0,0.11,9.1,8.8,0.3,0,2,3,5,5,2,4.0,0.48,100.0,0.0
0.94,80.0,0.12,7.4,7.4,0.0,1,8,5,3,4,5,2.0,0.87,88.0,0.0
0.84,81.0,0.1,6.4,5.3,1.1,1,1,5,2,2,4,4.0,0.48,88.0,0.0
0.84,76.0,0.16,8.4,7.3,1.1,1,6,4,3,1,4,7.0,0.83,90.0,0.0
0.86,93.0,0.22,8.6,7.3,1.3,3,3,5,5,1,3,10.0,0.62,74.0,0.0
0.84,92.0,0.02,9.3,8.2,1.1,3,1,2,3,5,3,3.0,0.75,80.0,0.0
0.9,93.0,0.08,6.6,6.3,0.3,0,0,4,2,1,4,6.0,0.79,88.0,0.0
0.77,74.0,0.11,10.0,8.4,1.6,4,0,4,3,3,3,7.0,0.78,88.0,0.0
0.87,71.0,0.275,9.3,8.9,0.4,2,3,1,5,3,5,6.0,0.97,85.0,0.0
0.8,100.0,0.05,7.6,7.1,0.5,2,3,3,4,4,3,8.0,0.82,93.0,0.0
0.88,90.0,0.02,10.0,9.8,0.2,2,7,4,3,4,5,3.0,0.91,89.0,0.0
0.99,87.0,0.05,8.8,7.7,1.1,5,4,5,3,3,2,4.0,0.48,76.0,0.0
0.93,90.0,0.03,9.0,8.6,0.4,1,0,3,2,4,2,2.0,0.265,91.0,0.0
0.73,78.0,0.08,8.1,7.1,1.0,0,0,5,2,5,3,1.0,0.67,88.0,0.0
0.8,85.0,0.275,7.6,6.3,1.3,1,4,4,2,5,3,3.0,0.72,81.0,0.0
1.0,83.0,0.04,10.0,9.4,0.6,2,5,4,4,5,3,5.0,0.8,81.0,0.0
0.78,97.0,0.09,8.6,8.3,0.3,3,1,4,1,4,5,4.0,0.64,96.0,0.0
0.94,81.0,0.13,6.0,5.6,0.4,0,0,1,4,4,5,2.0,0.53,80.0,0.0
0.8,63.0,0.03,8.8,7.9,0.9,0,0,5,5,1,5,0.0,0.68,81.0,0.0
0.84,86.0,0.12,6.0,5.8,0.2,2,3,3,3,4,3,5.0,0.85,97.0,0.0
0.77,80.0,0.03,8.0,7.1,0.9,3,1,3,2,3,3,4.0,0.65,100.0,0.0
0.84,66.0,0.12,7.2,6.8,0.4,0,5,4,2,5,4,4.0,0.88,87.0,0.0
0.84,92.0,0.01,8.6,7.4,1.2,0,3,2,3,3,5,6.0,0.51,91.0,1.0
0.86,73.0,0.1,8.5,7.8,0.7,3,1,4,3,3,5,4.0,0.58,81.0,0.0
0.95,81.0,0.12,8.1,7.8,0.3,2,2,4,5,3,4,6.0,0.51,96.0,0.0
0.85,98.0,0.13,7.8,7.3,0.5,4,2,4,3,5,5,7.0,0.89,84.0,1.0
0.75,73.0,0.23,8.7,7.8,0.9,2,8,3,2,5,2,7.0,0.76,82.0,0.0
0.8,92.0,0.12,9.0,7.7,1.3,5,12,3,1,5,1,9.0,0.74,88.0,0.0
0.88,98.0,0.11,6.7,5.3,1.4,2,2,4,1,4,4,1.0,0.67,86.0,0.0
0.93,91.0,0.02,8.3,7.1,1.2,1,8,1,3,4,2,6.0,0.64,79.0,0.0
0.83,93.0,0.13,7.8,7.0,0.8,4,5,5,4,1,3,4.0,0.76,84.0,0.0
0.84,66.0,0.09,9.8,8.7,1.1,2,4,3,3,4,3,5.0,0.84,87.0,0.0
0.76,83.0,0.03,9.7,7.8,1.9,3,6,4,3,5,2,10.5,0.85,93.0,0.0
0.73,64.0,0.02,7.7,7.5,0.2,2,9,5,4,2,4,10.5,0.88,91.0,0.0
0.79,72.0,0.14,8.3,7.1,1.2,1,1,4,2,1,5,5.0,0.84,85.0,0.0
0.79,94.0,0.04,6.4,6.4,0.0,4,0,4,5,4,4,8.0,0.83,86.0,0.0
0.99,88.0,0.08,8.6,7.6,1.0,1,2,1,5,4,4,4.0,0.5,96.0,0.0
0.91,87.0,0.15,7.0,6.1,0.9,1,7,1,4,5,4,6.0,0.64,91.0,0.0
0.77,100.0,0.09,7.5,6.9,0.6,1,0,3,3,5,4,5.0,0.83,100.0,0.0
0.91,79.0,0.06,8.7,7.5,1.2,6,6,4,4,2,3,7.0,0.71,98.0,0.0
0.66,84.0,0.1,7.3,6.5,0.8,3,9,4,3,5,4,3.0,0.88,89.0,0.0
0.89,72.0,0.06,8.3,7.1,1.2,1,15,4,1,3,4,5.0,0.73,95.0,0.0
0.89,81.0,0.07,8.0,6.9,1.1,4,5,4,3,3,4,4.0,0.77,92.0,0.0
0.67,73.0,0.12,9.6,8.8,0.8,3,3,4,4,4,4,0.0,0.76,90.0,0.0
0.9,97.0,0.13,6.4,6.0,0.4,2,7,3,4,2,2,5.0,0.265,81.0,0.0
0.93,91.0,0.08,9.0,7.8,1.2,1,6,3,3,2,4,6.0,0.92,89.0,0.0
0.79,76.0,0.02,8.5,7.2,1.3,4,2,4,3,3,3,3.0,0.54,87.0,0.0
0.93,71.0,0.16,6.6,5.4,1.2,1,3,4,5,4,2,4.0,0.8,82.0,0.0
0.8,94.0,0.06,6.7,5.4,1.3,0,0,4,1,3,5,5.0,0.66,99.0,1.0
0.69,68.0,0.1,7.3,6.4,0.9,2,1,4,4,4,3,2.0,0.66,93.0,0.0
0.93,82.0,0.02,7.0,5.1,1.9,2,2,3,3,4,5,3.0,0.71,96.0,0.0
1.0,89.0,0.03,10.0,8.5,1.5,1,16,5,4,4,3,8.0,0.96,72.0,1.0
0.78,81.0,0.04,9.5,9.3,0.2,2,15,4,5,2,4,5.0,0.7,82.0,0.0
0.7,84.0,0.12,8.8,8.3,0.5,3,7,2,3,4,1,8.0,0.54,97.0,0.0
0.98,98.0,0.17,9.3,8.4,0.9,3,1,5,3,4,4,5.0,0.82,92.0,0.0
0.68,86.0,0.12,7.3,6.6,0.7,1,4,5,5,2,5,3.0,0.58,95.0,0.0
0.89,62.0,0.16,8.1,6.6,1.5,0,5,3,2,2,3,5.0,0.52,88.0,0.0
0.82,74.0,0.05,8.2,7.0,1.2,4,16,3,2,5,1,1.0,0.85,79.0,0.0
0.78,88.0,0.13,7.9,7.1,0.8,3,0,4,3,3,5,4.0,0.6,80.0,0.0
0.97,79.0,0.09,7.5,6.8,0.7,2,4,5,5,3,3,2.0,0.65,92.0,0.0
0.99,86.0,0.09,7.5,6.5,1.0,4,8,4,4,5,5,10.5,0.88,96.0,0.0
0.8,90.0,0.03,8.4,7.5,0.9,4,2,4,2,4,4,5.0,0.59,89.0,0.0
0.9,75.0,0.09,8.5,7.1,1.4,2,1,3,2,3,5,6.0,0.47,90.0,0.0
0.8,81.0,0.07,7.4,6.9,0.5,5,8,4,4,4,5,4.0,0.95,86.0,0.0
0.99,80.0,0.02,7.9,7.1,0.8,3,2,3,4,4,3,7.0,0.33,66.0,0.0
0.71,86.0,0.04,9.6,8.7,0.9,3,7,4,3,3,5,7.0,0.65,84.0,0.0
0.9,67.0,0.2,8.8,7.5,1.3,1,1,1,5,4,3,5.0,0.79,75.0,0.0
0.97,83.0,0.08,7.7,6.2,1.5,0,5,4,3,3,5,6.0,0.73,85.0,0.0
0.82,77.0,0.05,6.0,6.0,0.0,6,5,2,4,3,2,4.0,0.65,92.0,0.0
0.9,88.0,0.13,7.3,7.0,0.3,1,1,4,1,2,4,5.0,0.78,89.0,0.0
0.88,98.0,0.17,8.5,8.5,0.0,3,2,5,3,5,4,3.0,0.78,92.0,0.0
1.0,79.0,0.01,6.2,6.2,0.0,0,5,5,5,1,3,2.0,0.85,89.0,0.0
0.82,72.0,0.12,6.7,5.3,1.4,1,16,4,3,5,2,3.0,0.44,98.0,0.0
0.84,80.0,0.06,8.4,8.4,0.0,2,0,2,3,3,5,6.0,0.72,85.0,0.0
0.81,84.0,0.11,7.5,6.6,0.9,0,0,3,2,5,5,1.0,0.74,93.0,0.0
0.79,79.0,0.05,8.7,8.1,0.6,3,2,3,3,2,2,4.0,0.62,94.0,0.0
0.86,88.0,0.14,8.1,7.7,0.4,0,2,4,5,5,4,6.0,0.8,98.0,0.0
0.81,95.0,0.06,7.2,5.6,1.6,3,0,3,3,4,3,5.0,0.85,93.0,0.0
0.8,80.0,0.05,6.4,5.8,0.6,1,5,5,2,3,5,4.0,0.92,88.0,0.0
0.93,79.0,0.17,9.7,8.6,1.1,2,11,4,4,5,5,6.0,0.68,73.0,1.0
0.78,75.0,0.1,7.1,6.6,0.5,1,8,5,3,4,4,2.0,0.6,90.0,0.0
0.98,87.0,0.13,8.3,7.2,1.1,2,15,4,3,4,5,4.0,0.85,84.0,0.0
0.74,88.0,0.1,7.6,7.6,0.0,1,13,4,2,3,4,10.0,0.5,98.0,0.0
0.87,90.0,0.06,9.3,8.3,1.0,1,5,3,5,5,3,8.0,0.71,100.0,0.0
0.92,89.0,0.12,9.1,7.3,1.8,1,2,2,5,3,5,2.0,0.68,91.0,0.0
0.75,86.0,0.1,8.0,7.9,0.1,1,13,3,3,2,4,5.0,0.79,83.0,0.0
0.7,85.0,0.09,7.4,6.9,0.5,2,1,4,5,4,4,7.0,0.69,80.0,0.0
0.72,88.0,0.06,9.6,8.8,0.8,1,0,2,3,5,4,3.0,0.48,86.0,1.0
0.75,70.0,0.18,8.9,7.4,1.5,2,0,5,5,1,3,3.0,0.59,94.0,0.0
0.88,76.0,0.21,9.5,7.9,1.6,1,5,5,3,1,4,3.0,0.54,82.0,0.0
0.85,58.5,0.12,7.5,6.6,0.9,1,6,2,3,4,3,6.0,0.89,69.0,0.0
0.74,81.0,0.15,8.3,7.2,1.1,0,11,3,2,4,1,6.0,0.61,80.0,0.0
1.0,71.0,0.06,7.9,6.6,1.3,0,8,4,3,4,4,4.0,0.67,84.0,0.0
0.83,85.0,0.08,9.3,8.4,0.9,4,10,1,1,5,3,4.0,0.8,90.0,0.0
1.0,95.0,0.16,8.6,8.6,0.0,2,1,4,5,3,5,4.0,0.71,79.0,0.0
0.9,86.0,0.07,7.8,6.9,0.9,0,0,4,4,3,5,4.0,0.93,100.0,0.0
0.82,94.0,0.18,7.4,6.2,1.2,2,14,3,2,2,5,1.0,0.71,80.0,0.0
0.97,85.0,0.19,9.0,8.2,0.8,1,3,2,1,3,5,5.0,0.6,92.0,0.0
0.9,77.0,0.09,7.4,7.2,0.2,3,0,4,2,3,2,4.0,0.41,88.0,0.0
0.78,83.0,0.02,7.8,7.5,0.3,1,3,2,3,4,4,9.0,0.45,88.0,0.0
0.94,71.0,0.1,7.7,7.5,0.2,2,5,4,3,2,4,6.0,0.44,91.0,0.0
0.99,84.0,0.23,8.7,7.7,1.0,3,1,4,4,2,5,6.0,0.64,90.0,0.0
0.86,90.0,0.03,9.6,8.4,1.2,0,4,5,2,4,4,5.0,0.93,93.0,0.0
0.83,97.0,0.09,8.5,8.3,0.2,2,4,3,2,4,3,10.5,0.86,97.0,0.0
0.99,99.0,0.275,7.2,6.5,0.7,3,3,2,3,3,3,6.0,0.86,93.0,0.0
0.78,86.0,0.11,7.6,7.0,0.6,3,5,2,3,3,1,5.0,0.56,85.0,0.0
0.88,94.0,0.19,6.7,6.0,0.7,0,0,3,1,5,5,5.0,0.78,91.0,0.0
0.92,74.0,0.08,8.8,8.2,0.6,1,0,5,2,4,5,5.0,0.76,87.0,0.0
0.77,81.0,0.09,9.5,8.3,1.2,1,6,4,5,5,4,3.0,0.46,86.0,0.0
0.86,89.0,0.11,8.2,6.6,1.6,3,4,5,3,1,5,5.0,0.83,87.0,0.0
0.75,87.0,0.09,9.0,8.5,0.5,1,8,3,3,4,4,4.0,0.57,86.0,0.0
0.87,71.0,0.22,9.4,9.3,0.1,3,13,5,2,3,1,2.0,0.51,88.0,0.0
1.0,82.0,0.09,6.8,6.0,0.8,0,4,3,3,4,5,4.0,0.82,86.0,0.0
1.0,88.0,0.07,7.2,6.5,0.7,1,6,5,1,3,5,4.0,0.69,73.0,0.0
0.78,79.0,0.12,8.2,7.0,1.2,3,2,4,2,1,5,7.0,0.64,88.0,0.0
1.0,86.0,0.04,8.3,6.8,1.5,2,3,4,3,2,4,0.0,0.59,87.0,0.0
0.95,93.0,0.12,8.4,7.7,0.7,2,10,2,2,4,5,4.0,0.93,95.0,0.0
0.62,72.0,0.13,7.5,5.6,1.9,2,4,4,5,1,4,4.0,0.88,93.0,0.0
0.82,87.0,0.0,8.2,7.9,0.3,5,5,4,2,3,4,4.0,0.66,89.0,1.0
0.77,82.0,0.02,7.4,6.7,0.7,1,1,3,2,4,4,4.0,0.79,90.0,0.0
0.78,73.0,0.09,6.3,5.4,0.9,3,1,3,2,5,4,10.0,0.86,82.0,0.0
0.89,100.0,0.09,8.6,7.4,1.2,1,2,4,2,5,5,5.0,0.9,93.0,0.0
0.86,92.0,0.07,7.0,6.8,0.2,3,6,4,1,4,5,6.0,0.33,93.0,0.0
0.95,73.0,0.12,7.7,7.5,0.2,1,2,1,1,3,4,6.0,0.78,84.0,0.0
0.93,100.0,0.16,8.8,6.9,1.9,1,0,3,1,4,3,4.0,0.63,100.0,0.0
0.87,100.0,0.07,8.0,6.8,1.2,3,4,4,3,5,3,1.0,0.71,91.0,0.0
0.89,77.0,0.07,9.3,8.2,1.1,1,3,2,3,4,4,3.0,0.64,90.0,0.0
1.0,93.0,0.1,9.1,8.3,0.8,1,6,2,1,5,4,3.0,0.65,87.0,0.0
0.82,85.0,0.01,7.8,6.9,0.9,0,8,1,2,4,4,3.0,0.9,93.0,0.0
0.77,69.0,0.05,7.8,7.8,0.0,0,2,4,3,4,4,4.0,0.67,85.0,0.0
0.74,79.0,0.04,8.0,6.9,1.1,2,6,3,5,3,4,7.0,0.79,91.0,0.0
0.89,76.0,0.02,8.0,7.4,0.6,2,2,4,3,1,5,4.0,0.95,87.0,0.0
1.0,64.0,0.08,6.8,5.8,1.0,2,2,5,3,4,3,5.0,0.83,72.0,0.0
1.0,74.0,0.18,8.2,8.0,0.2,1,3,4,4,3,3,4.0,0.72,94.0,0.0
0.99,76.0,0.22,8.5,8.3,0.2,1,7,4,1,3,3,1.0,0.77,92.0,0.0
0.8,82.0,0.04,9.2,7.7,1.5,3,2,2,2,2,4,3.0,0.83,93.0,0.0
0.64,81.0,0.275,6.9,5.8,1.1,6,3,4,5,4,4,4.0,0.85,78.0,0.0
0.77,81.0,0.17,7.4,7.0,0.4,0,2,4,3,4,4,3.0,0.78,92.0,0.0
0.75,82.0,0.12,7.4,6.9,0.5,0,7,4,4,4,5,7.0,0.78,93.0,0.0
0.83,100.0,0.03,7.9,7.4,0.5,1,3,4,1,2,4,10.0,0.79,81.0,0.0
0.86,73.0,0.07,9.3,9.0,0.3,3,2,5,4,4,3,6.0,0.83,86.0,1.0
1.0,98.0,0.01,8.2,7.3,0.9,2,16,4,2,2,3,10.0,0.75,87.0,0.0
0.93,89.0,0.13,7.9,7.0,0.9,2,2,4,2,5,5,3.0,0.66,95.0,0.0
0.97,76.0,0.05,8.4,7.7,0.7,3,3,4,4,3,5,10.0,0.89,97.0,0.0
0.77,95.0,0.06,8.1,7.6,0.5,1,9,3,5,3,4,1.0,0.66,90.0,0.0
0.88,86.0,0.01,9.1,8.0,1.1,1,1,4,3,5,3,6.0,0.93,76.0,0.0
0.93,94.0,0.16,8.1,7.3,0.8,3,1,4,4,5,4,6.0,0.86,87.0,0.0
0.77,91.0,0.05,7.3,6.3,1.0,2,1,2,5,4,3,7.0,0.84,77.0,0.0
0.71,94.0,0.23,7.8,6.4,1.4,0,5,5,2,5,4,5.0,0.84,91.0,0.0
0.82,89.0,0.12,7.4,7.0,0.4,1,12,4,5,4,3,10.5,0.69,93.0,0.0
0.83,88.0,0.13,7.4,7.1,0.3,0,7,4,4,3,5,3.0,0.52,81.0,0.0
1.0,83.0,0.09,7.4,7.3,0.1,2,1,4,2,5,5,8.0,0.75,100.0,0.0
0.83,93.0,0.13,7.8,6.9,0.9,1,4,4,5,4,4,8.0,0.73,82.0,0.0
1.0,100.0,0.03,9.1,8.1,1.0,0,10,2,3,3,3,4.0,0.96,100.0,0.0
0.95,86.0,0.09,7.4,6.8,0.6,0,9,5,4,3,3,1.0,0.52,88.0,0.0
0.65,88.0,0.17,8.2,8.2,0.0,4,10,3,4,4,5,3.0,0.9,100.0,0.0
0.89,85.0,0.19,8.3,8.2,0.1,0,3,4,1,5,2,10.0,0.72,94.0,1.0
0.88,80.0,0.05,8.5,7.5,1.0,1,4,5,2,4,4,8.0,0.77,84.0,0.0
0.87,91.0,0.06,7.1,5.9,1.2,1,15,5,1,5,5,6.0,0.87,88.0,0.0
0.83,92.0,0.11,8.5,7.3,1.2,2,4,4,3,3,4,7.0,0.76,82.0,0.0
0.92,83.0,0.19,6.8,5.5,1.3,3,0,4,1,4,2,4.0,0.96,89.0,0.0
0.83,100.0,0.17,7.9,7.6,0.3,1,4,3,4,5,4,6.0,0.75,89.0,0.0
0.88,69.0,0.1,6.7,5.4,1.3,3,0,4,5,4,3,7.0,0.81,81.0,0.0
0.96,77.0,0.05,7.6,6.2,1.4,3,9,5,3,2,5,6.0,0.7,80.0,0.0
0.87,70.0,0.04,7.6,7.5,0.1,1,1,3,2,2,5,6.0,0.84,98.0,0.0
0.95,82.0,0.06,7.4,7.4,0.0,3,2,1,4,1,3,3.0,0.88,91.0,0.0
0.83,86.0,0.03,8.4,8.1,0.3,3,4,3,2,4,4,1.0,0.33,94.0,0.0
0.75,86.0,0.14,7.9,7.1,0.8,2,6,4,5,4,2,9.0,0.76,72.0,0.0
0.9,90.0,0.04,7.8,6.7,1.1,4,16,4,5,5,4,2.0,0.71,86.0,0.0
0.74,80.0,0.06,8.1,7.1,1.0,2,1,4,2,4,4,4.0,0.9,87.0,0.0
0.71,84.0,0.06,8.5,6.5,2.0,1,5,4,1,4,3,7.0,0.51,89.0,0.0
0.92,98.0,0.02,8.2,7.3,0.9,6,6,3,1,1,4,10.0,0.52,89.0,1.0
0.8,77.0,0.12,8.8,7.5,1.3,2,1,4,2,1,5,3.0,0.37,97.0,0.0
0.78,98.0,0.14,7.7,6.6,1.1,2,2,3,3,4,3,6.0,0.81,88.0,0.0
0.67,91.0,0.13,8.5,6.8,1.7,1,1,5,3,5,2,5.0,0.6,83.0,0.0
0.89,82.0,0.11,9.6,8.2,1.4,2,2,4,5,4,5,2.0,0.88,93.0,0.0
0.74,96.0,0.05,8.4,7.5,0.9,0,6,3,5,2,3,6.0,0.85,98.0,0.0
0.87,91.0,0.06,7.0,6.1,0.9,2,3,3,2,3,3,5.0,0.91,100.0,0.0
0.96,88.0,0.09,8.6,7.7,0.9,1,16,3,3,4,4,5.0,0.67,83.0,0.0
0.82,94.0,0.05,8.3,8.0,0.3,1,11,4,3,4,2,6.0,0.59,79.0,0.0
0.78,70.0,0.04,6.2,5.2,1.0,4,5,5,2,4,3,5.0,0.43,96.0,0.0
0.87,93.0,0.04,7.2,6.2,1.0,4,7,3,5,5,5,8.0,0.89,94.0,0.0
0.79,76.0,0.07,8.0,8.0,0.0,3,4,5,1,5,5,7.0,0.44,86.0,0.0
0.78,76.0,0.09,8.4,7.7,0.7,2,4,4,3,4,3,5.0,0.52,88.0,0.0
1.0,83.0,0.15,7.4,6.6,0.8,5,2,4,3,4,5,9.0,0.68,91.0,0.0
0.9,97.0,0.22,7.5,7.5,0.0,3,4,4,3,1,5,5.0,0.69,85.0,0.0
0.79,77.0,0.12,8.3,6.9,1.4,4,11,3,1,5,2,1.0,0.72,94.0,0.0
1.0,83.0,0.02,6.7,5.7,1.0,4,3,3,4,2,4,4.0,0.79,75.0,0.0
0.75,83.0,0.21,8.3,7.7,0.6,2,6,2,3,5,4,10.0,0.6,85.0,0.0
0.79,92.0,0.06,7.5,6.3,1.2,4,6,2,4,5,5,1.0,0.34,100.0,0.0
1.0,85.0,0.16,10.0,9.4,0.6,1,3,5,1,4,2,6.0,0.49,91.0,0.0
0.71,79.0,0.06,7.5,7.0,0.5,1,4,3,5,5,5,7.0,0.75,89.0,0.0
1.0,79.0,0.13,7.5,6.3,1.2,0,1,4,4,3,4,3.0,0.75,93.0,0.0
0.78,70.0,0.04,8.2,7.7,0.5,2,7,2,1,1,3,6.0,0.73,75.0,0.0
0.9,91.0,0.07,8.4,6.5,1.9,1,5,5,5,5,4,4.0,0.98,78.0,0.0
0.76,73.0,0.12,7.3,5.9,1.4,3,10,4,2,3,4,4.0,0.69,87.0,0.0
0.87,97.0,0.02,7.3,6.7,0.6,2,3,2,5,5,4,2.0,0.265,80.0,0.0
0.92,85.0,0.05,8.1,8.1,0.0,2,13,5,4,3,5,3.0,0.8,85.0,0.0
1.0,83.0,0.1,8.3,7.8,0.5,1,1,5,4,5,3,8.0,0.5,92.0,0.0
0.75,82.0,0.05,7.7,7.1,0.6,3,8,5,4,5,2,4.0,0.75,96.0,0.0
0.9,98.0,0.15,8.6,8.0,0.6,3,7,3,4,4,2,4.0,0.88,85.0,0.0
0.71,84.0,0.1,7.7,7.3,0.4,4,2,5,5,3,4,4.0,0.49,90.0,0.0
0.88,86.0,0.1,8.1,7.8,0.3,1,9,3,2,5,4,7.0,0.53,100.0,0.0
0.91,83.0,0.16,8.5,7.7,0.8,1,2,4,4,5,4,6.0,0.68,90.0,0.0
0.69,93.0,0.12,9.6,9.1,0.5,3,8,2,4,4,5,3.0,0.41,90.0,0.0
0.85,66.0,0.08,6.8,6.1,0.7,4,0,3,1,4,4,9.0,0.84,85.0,0.0
0.94,90.0,0.09,7.2,7.2,0.0,1,3,4,4,3,3,2.0,0.78,93.0,0.0
0.89,84.0,0.09,8.9,8.4,0.5,2,6,1,2,4,5,8.0,0.84,75.0,0.0
0.78,78.0,0.09,7.8,6.7,1.1,5,10,2,4,5,4,3.0,0.77,76.0,0.0
0.82,87.0,0.01,8.4,7.6,0.8,1,13,5,5,4,4,9.0,0.8,97.0,0.0
0.8,60.0,0.07,7.2,7.2,0.0,0,1,4,3,3,3,3.0,0.85,88.0,0.0
0.84,81.0,0.04,9.5,8.3,1.2,0,7,5,1,4,4,4.0,0.8,81.0,0.0
0.73,75.0,0.14,9.2,7.9,1.3,2,2,3,3,5,3,8.0,0.85,100.0,0.0
0.8,87.0,0.14,6.6,5.3,1.3,1,16,5,1,5,3,10.5,0.56,84.0,0.0
0.96,76.0,0.04,8.3,6.9,1.4,4,3,3,2,2,4,5.0,0.62,99.0,0.0
0.93,99.0,0.04,10.0,8.9,1.1,1,0,3,3,4,3,6.0,0.78,75.0,0.0
0.83,85.0,0.07,8.5,7.5,1.0,0,6,3,3,3,4,5.0,0.76,82.0,0.0
0.93,85.0,0.12,8.8,7.8,1.0,2,0,5,3,2,4,4.0,0.55,78.0,0.0
0.97,63.0,0.17,7.2,6.1,1.1,5,7,3,3,5,4,4.0,0.48,81.0,0.0
0.76,74.0,0.04,8.5,7.5,1.0,2,11,4,2,3,4,4.0,0.87,92.0,0.0
0.94,87.0,0.09,7.4,6.8,0.6,0,0,4,4,3,5,2.0,0.93,84.0,0.0
0.93,75.0,0.1,8.7,7.7,1.0,2,2,3,4,5,3,9.0,0.54,89.0,0.0
0.93,67.0,0.1,7.8,7.1,0.7,2,4,4,4,3,3,7.0,0.89,87.0,0.0
0.85,100.0,0.16,9.4,8.1,1.3,1,1,4,5,4,3,3.0,0.66,84.0,0.0
1.0,76.0,0.09,7.1,6.3,0.8,1,2,4,5,4,5,3.0,0.37,94.0,0.0
1.0,82.0,0.06,9.0,7.8,1.2,0,3,4,2,2,4,8.0,0.41,89.0,0.0
0.87,74.0,0.04,8.4,7.0,1.4,5,1,5,5,3,4,7.0,0.76,80.0,0.0
0.95,85.0,0.06,7.3,6.4,0.9,3,9,2,5,3,4,3.0,0.91,84.0,0.0
0.64,86.0,0.06,6.5,5.3,1.2,0,3,3,2,4,4,2.0,0.34,89.0,0.0
0.84,84.0,0.09,8.0,7.7,0.3,1,5,1,4,3,2,3.0,0.62,95.0,0.0
1.0,72.0,0.12,9.5,7.8,1.7,2,8,4,2,3,3,9.0,0.54,82.0,0.0
0.89,69.0,0.1,8.0,7.8,0.2,5,1,4,5,4,2,4.0,0.96,87.0,0.0
0.82,90.0,0.04,7.9,6.5,1.4,4,4,3,2,5,4,5.0,0.92,94.0,0.0
0.88,78.0,0.13,7.2,6.8,0.4,1,6,5,4,3,3,6.0,0.82,85.0,0.0
0.9,99.0,0.03,7.9,6.4,1.5,2,4,5,4,4,5,4.0,0.79,96.0,1.0
0.83,83.0,0.04,6.5,6.0,0.5,3,1,5,4,4,5,5.0,0.67,83.0,0.0
0.68,80.0,0.06,8.0,7.7,0.3,5,16,3,1,4,3,7.0,0.8,92.0,0.0
0.79,100.0,0.11,7.4,7.1,0.3,1,0,5,2,4,5,5.0,0.93,76.0,0.0
