attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage,efficiency_score,exp_productivity
52.26,64.81,74.42,5.28,11,1,2.31,Manager,75.58,-9.61,11.088000000000001
78.36,76.81,46.24,6.65,4,5,2.7,Team Lead,78.14,30.57,9.31
51.88,50.49,61.96,4.7,13,5,1.73,Team Lead,63.92,-11.469999999999999,10.809999999999999
89.98,97.67,4.16,8.89,1,3,4.31,HR,100.0,93.51,9.779000000000002
54.43,42.14,84.34,5.38,8,4,1.96,Manager,54.09,-42.2,9.684
98.64,99.14,0.34,9.45,14,1,4.97,Manager,100.0,98.8,22.679999999999996
80.58,72.31,52.16,7.34,10,1,3.36,Manager,100.0,20.150000000000006,14.68
60.79,60.98,60.27,5.82,4,3,1.86,Team Lead,61.85,0.7099999999999937,8.148
60.06,55.93,63.2,4.31,3,4,1.35,Manager,45.44,-7.270000000000003,5.603
51.77,54.66,83.89,5.24,5,4,1.05,HR,46.01,-29.230000000000004,7.86
87.67,92.67,20.43,8.47,5,4,4.32,Team Lead,100.0,72.24000000000001,12.705000000000002
90.27,88.87,17.92,9.94,12,1,5.0,Team Lead,100.0,70.95,21.868000000000002
59.5,45.22,62.74,4.82,6,1,1.53,HR,57.64,-17.520000000000003,7.712000000000001
85.53,96.95,1.99,8.06,7,4,4.3,Team Lead,100.0,94.96000000000001,13.702
70.49,76.53,31.84,6.87,8,2,3.03,HR,95.74,44.69,12.366
89.81,93.24,0.22,8.73,11,4,4.94,Employee,100.0,93.02,18.333000000000002
83.54,65.21,38.9,7.42,10,5,3.2,Employee,95.79,26.309999999999995,14.84
96.07,85.45,13.08,9.86,3,1,4.3,Manager,100.0,72.37,12.818
69.97,62.42,60.71,5.03,11,5,2.27,Team Lead,72.55,1.7100000000000009,10.563
61.1,53.24,67.26,4.19,5,3,2.35,Manager,54.46,-14.020000000000003,6.285
85.14,81.69,7.79,8.01,3,3,4.14,Team Lead,100.0,73.89999999999999,10.413
80.57,75.13,39.37,6.96,14,2,3.2,HR,100.0,35.76,16.704
98.25,90.83,25.25,9.49,3,5,4.06,Employee,100.0,65.58,12.337000000000002
92.41,87.32,23.33,8.13,4,1,4.01,Team Lead,100.0,63.989999999999995,11.382
77.53,79.49,58.25,7.73,14,2,3.25,HR,100.0,21.239999999999995,18.552
81.8,70.47,59.66,7.19,11,1,3.1,Manager,100.0,10.810000000000002,15.099000000000002
58.9,63.7,60.4,5.97,10,5,2.22,Employee,72.72,3.3000000000000043,11.94
62.24,53.53,83.84,4.66,4,3,1.98,Employee,50.06,-30.310000000000002,6.524
81.97,73.28,35.16,7.96,5,5,2.77,Manager,89.11,38.120000000000005,11.94
64.47,44.86,72.96,4.57,13,5,1.74,Team Lead,62.54,-28.099999999999994,10.511
50.38,42.34,66.73,5.15,8,4,1.11,Employee,51.21,-24.39,9.270000000000001
67.85,56.09,75.76,4.66,6,5,2.47,HR,56.3,-19.67,7.456
73.2,74.98,34.72,6.24,13,1,3.65,Employee,100.0,40.260000000000005,14.351999999999999
84.41,75.05,35.26,6.95,10,1,3.47,Team Lead,100.0,39.79,13.9
69.51,44.28,86.2,5.87,14,3,2.15,Manager,75.56,-41.92,14.088
99.66,95.15,4.85,8.95,14,1,4.72,Manager,100.0,90.30000000000001,21.479999999999997
76.51,65.81,38.9,6.45,6,3,3.14,Team Lead,85.07,26.910000000000004,10.32
79.57,71.01,30.96,7.86,7,2,3.93,Team Lead,100.0,40.050000000000004,13.362
72.98,79.71,38.39,7.04,9,3,3.32,Employee,98.28,41.31999999999999,13.376
82.44,74.19,43.38,7.46,5,3,2.58,Team Lead,88.39,30.809999999999995,11.19
93.09,88.58,0.59,9.97,4,3,4.22,Employee,100.0,87.99,13.958
75.5,75.92,36.77,7.21,2,3,3.57,Employee,86.23,39.15,8.652
99.46,97.3,5.41,9.4,12,2,4.75,Employee,100.0,91.89,20.680000000000003
58.29,47.03,73.86,4.48,5,2,1.14,HR,47.97,-26.83,6.720000000000001
99.94,82.09,24.17,8.55,12,3,4.36,HR,100.0,57.92,18.810000000000002
84.09,73.7,37.12,6.8,11,3,3.64,HR,100.0,36.580000000000005,14.28
68.95,55.6,82.61,4.06,3,3,2.49,Employee,50.15,-27.009999999999998,5.278
82.33,71.31,47.1,7.23,5,3,3.28,Team Lead,89.08,24.21,10.845
86.42,99.19,2.17,8.99,6,2,4.65,Employee,100.0,97.02,14.384
50.88,63.93,87.85,5.36,13,3,1.15,Manager,66.9,-23.919999999999995,12.328
72.54,73.36,38.55,7.67,2,3,3.27,Team Lead,85.15,34.81,9.203999999999999
57.07,63.47,67.05,4.64,10,3,2.03,Employee,67.26,-3.5799999999999983,9.28
76.76,65.78,38.16,7.41,13,4,3.88,HR,100.0,27.620000000000005,17.043
59.8,51.63,63.4,5.08,2,5,1.09,Manager,42.6,-11.769999999999996,6.096
57.21,50.84,84.63,4.8,1,1,1.06,Team Lead,41.91,-33.78999999999999,5.28
96.14,93.91,24.38,8.62,7,2,4.22,Employee,100.0,69.53,14.653999999999998
81.82,65.96,43.2,7.88,3,2,2.98,Manager,87.87,22.75999999999999,10.244
80.53,76.37,59.52,6.76,7,1,3.1,HR,92.44,16.85,11.491999999999999
69.67,55.98,74.35,4.32,10,2,1.15,HR,62.73,-18.369999999999997,8.64
83.7,73.3,35.15,6.65,8,1,3.67,HR,100.0,38.15,11.97
72.47,77.09,57.85,6.16,14,1,3.96,Employee,100.0,19.240000000000002,14.783999999999999
93.06,85.34,5.9,8.56,1,2,4.82,Manager,100.0,79.44,9.416000000000002
80.69,69.21,49.51,6.24,13,1,2.51,Employee,98.79,19.699999999999996,14.351999999999999
70.9,67.61,51.84,6.96,13,3,3.22,Employee,98.56,15.769999999999996,16.008
72.49,65.67,33.58,6.96,14,3,2.83,Employee,100.0,32.09,16.704
93.14,87.48,18.76,8.02,10,4,4.14,Employee,100.0,68.72,16.04
79.53,75.1,52.99,6.03,2,1,3.14,Employee,79.64,22.109999999999992,7.236
73.52,65.21,45.71,6.6,11,1,3.44,Employee,99.0,19.499999999999993,13.86
50.41,46.73,75.53,4.54,6,1,1.94,Employee,53.92,-28.800000000000004,7.264
67.03,64.5,87.59,5.47,11,2,2.01,Employee,73.98,-23.090000000000003,11.487
53.69,54.95,81.24,4.78,14,4,1.37,Manager,64.39,-26.289999999999992,11.472
96.11,98.27,8.87,8.02,12,4,4.89,Team Lead,100.0,89.39999999999999,17.644000000000002
54.6,59.8,69.59,5.95,10,2,1.65,Manager,71.68,-9.790000000000006,11.9
65.02,61.23,83.22,4.26,11,2,2.14,Team Lead,67.95,-21.990000000000002,8.946
84.57,75.97,57.26,6.95,2,4,2.77,Employee,77.09,18.71,8.34
66.51,54.46,63.43,4.24,2,1,2.11,Manager,54.03,-8.969999999999999,5.088
75.41,72.47,42.93,6.56,6,4,2.94,Manager,83.52,29.54,10.496
80.0,67.99,44.2,6.05,1,1,2.7,Team Lead,75.28,23.789999999999992,6.655
88.22,91.81,27.48,9.67,7,1,4.18,HR,100.0,64.33,16.439
66.7,41.42,72.64,5.25,13,4,1.14,Team Lead,64.55,-31.22,12.075
70.84,74.49,37.37,6.18,14,2,3.03,HR,100.0,37.12,14.831999999999999
68.55,63.79,65.57,5.2,9,1,1.89,Employee,74.61,-1.779999999999994,9.879999999999999
97.72,88.79,25.85,8.73,13,1,4.77,Employee,100.0,62.940000000000005,20.079
72.4,65.12,52.59,6.21,14,4,2.62,Team Lead,91.3,12.530000000000001,14.904
92.35,82.44,28.77,8.67,13,1,4.66,HR,100.0,53.67,19.941
80.65,74.77,43.22,6.8,14,5,3.05,Manager,100.0,31.549999999999997,16.32
56.95,62.5,60.65,5.33,7,5,2.45,HR,63.72,1.8500000000000014,9.061
50.1,52.92,89.53,5.0,2,4,2.28,HR,42.91,-36.61,6.0
62.95,63.25,65.16,4.39,2,5,1.18,Manager,43.5,-1.9099999999999966,5.268
95.18,90.69,1.33,9.39,14,4,5.0,Employee,100.0,89.36,22.536
67.53,49.19,61.69,4.19,3,2,2.16,HR,53.08,-12.5,5.447000000000001
85.95,82.04,21.56,8.39,6,2,4.1,HR,100.0,60.480000000000004,13.424000000000001
93.5,99.04,8.68,8.07,6,5,4.88,Manager,100.0,90.36000000000001,12.912
63.3,55.43,88.2,5.68,2,5,2.41,Manager,49.3,-32.77,6.816
89.51,91.56,11.28,9.07,8,3,4.88,Employee,100.0,80.28,16.326
97.71,99.41,5.82,9.07,8,4,4.44,HR,100.0,93.59,16.326
51.87,45.27,77.98,4.78,1,2,1.18,Team Lead,38.75,-32.71,5.258000000000001
76.32,71.26,52.38,7.29,14,5,3.67,HR,100.0,18.880000000000003,17.496
92.08,86.18,10.16,9.03,8,4,4.31,Employee,100.0,76.02000000000001,16.253999999999998
85.28,88.56,8.2,9.79,9,3,4.87,HR,100.0,80.36,18.601
68.23,57.83,89.88,5.01,12,2,2.05,HR,71.75,-32.05,11.022
88.28,90.44,4.66,9.33,7,3,4.61,HR,100.0,85.78,15.860999999999999
87.96,92.48,18.83,8.53,10,2,4.68,HR,100.0,73.65,17.06
97.49,84.62,15.38,9.36,2,5,4.13,Team Lead,100.0,69.24000000000001,11.232
90.41,85.77,7.27,8.54,14,1,4.13,Manager,100.0,78.5,20.496
54.99,61.94,84.39,5.92,7,5,2.33,Employee,60.66,-22.450000000000003,10.064
84.35,79.76,47.56,7.51,11,5,3.62,Employee,100.0,32.2,15.771
85.9,93.41,7.23,8.63,14,4,4.2,Manager,100.0,86.17999999999999,20.712
94.99,96.41,20.64,9.95,11,1,4.46,HR,100.0,75.77,20.895
50.65,46.34,81.41,4.87,11,5,1.79,Manager,55.57,-35.06999999999999,10.227
64.7,41.82,61.24,4.2,9,4,1.13,Employee,53.14,-19.42,7.9799999999999995
97.4,82.96,27.23,8.6,2,4,4.15,Manager,100.0,55.72999999999999,10.319999999999999
57.8,40.01,84.02,5.79,11,4,1.47,HR,59.93,-44.01,12.159
93.07,83.49,4.13,8.39,13,4,4.63,Team Lead,100.0,79.36,19.297
57.52,41.3,70.15,5.53,1,5,2.34,Manager,44.06,-28.85000000000001,6.083000000000001
96.34,82.29,20.51,9.45,13,1,4.66,Manager,100.0,61.78,21.734999999999996
83.73,79.1,30.96,7.42,9,2,2.84,Employee,100.0,48.13999999999999,14.097999999999999
82.43,76.71,49.11,6.2,9,5,2.99,Manager,87.72,27.599999999999994,11.78
74.87,72.37,49.14,6.14,9,2,3.92,Employee,94.91,23.230000000000004,11.665999999999999
79.81,77.62,54.43,7.92,4,5,2.8,Employee,83.96,23.190000000000005,11.088
65.35,41.9,63.32,4.47,10,1,2.47,HR,68.92,-21.42,8.94
94.8,93.05,11.47,8.44,8,3,4.24,HR,100.0,81.58,15.192
81.59,72.45,32.5,6.87,9,3,2.58,Team Lead,94.88,39.95,13.052999999999999
52.96,53.14,85.73,4.64,4,1,1.64,Team Lead,49.41,-32.59,6.4959999999999996
98.5,84.34,0.24,8.81,13,1,4.01,HR,100.0,84.10000000000001,20.262999999999998
71.46,79.18,48.45,7.65,2,5,3.48,HR,81.57,30.730000000000004,9.18
72.43,75.42,51.92,7.6,14,3,3.73,Team Lead,100.0,23.5,18.24
73.17,71.72,35.65,6.51,12,2,3.46,Team Lead,100.0,36.07,14.322000000000001
75.1,67.96,39.89,7.22,13,3,3.05,Team Lead,100.0,28.069999999999993,16.605999999999998
72.44,78.11,32.45,6.81,5,3,3.61,Manager,91.14,45.66,10.215
55.04,40.06,86.46,4.74,4,4,2.38,Manager,44.09,-46.39999999999999,6.636
70.49,69.89,52.55,7.65,8,3,2.77,Employee,90.16,17.340000000000003,13.770000000000001
77.68,76.8,48.36,6.58,4,3,3.48,Manager,85.11,28.439999999999998,9.212
89.41,92.44,10.8,9.61,5,5,4.48,Manager,100.0,81.64,14.415
99.08,97.5,24.89,8.68,12,4,4.71,HR,100.0,72.61,19.096
90.55,99.29,27.59,9.9,7,3,4.98,Manager,100.0,71.7,16.830000000000002
60.75,55.76,62.45,5.33,5,2,1.29,Employee,58.54,-6.690000000000005,7.995
85.02,85.85,8.31,9.07,13,2,4.01,Employee,100.0,77.53999999999999,20.861
95.31,89.72,25.08,8.53,10,4,4.21,Manager,100.0,64.64,17.06
82.92,70.03,49.4,6.05,14,5,3.54,Team Lead,97.8,20.630000000000003,14.52
67.97,57.73,89.13,5.27,1,2,2.45,Team Lead,53.07,-31.4,5.797
78.52,72.39,31.88,6.93,6,5,3.88,Team Lead,91.0,40.510000000000005,11.088000000000001
78.87,66.56,31.61,7.22,9,1,3.36,Team Lead,100.0,34.95,13.717999999999998
93.75,83.69,19.47,8.93,13,2,4.93,Employee,100.0,64.22,20.538999999999998
60.32,59.91,69.5,4.05,4,1,2.08,Employee,55.8,-9.590000000000003,5.669999999999999
86.93,94.48,6.38,9.82,7,3,4.9,HR,100.0,88.10000000000001,16.694
59.28,59.03,75.74,4.45,4,5,1.51,Employee,45.14,-16.709999999999994,6.2299999999999995
74.21,74.37,40.83,7.66,13,3,3.94,Employee,100.0,33.540000000000006,17.618
95.69,95.5,22.72,9.9,10,1,4.07,Manager,100.0,72.78,19.8
85.39,99.35,21.4,9.68,2,5,4.27,HR,100.0,77.94999999999999,11.616
74.0,67.52,57.27,6.85,8,1,3.8,Employee,94.56,10.249999999999993,12.33
93.81,94.66,14.66,8.25,9,4,4.46,Manager,100.0,80.0,15.674999999999999
58.87,47.58,74.95,5.01,4,3,2.18,HR,51.94,-27.370000000000005,7.013999999999999
50.13,62.77,86.59,4.9,1,5,2.19,Team Lead,41.51,-23.82,5.390000000000001
80.55,75.73,51.63,6.76,7,5,3.14,Team Lead,86.0,24.1,11.491999999999999
73.88,72.02,36.99,7.18,11,3,3.88,Team Lead,100.0,35.029999999999994,15.078
97.92,89.71,0.1,8.35,6,3,4.02,HR,100.0,89.61,13.36
97.1,94.92,2.23,8.92,2,5,4.08,Manager,100.0,92.69,10.703999999999999
69.01,61.54,87.48,4.27,12,5,1.79,Manager,62.54,-25.940000000000005,9.394
58.07,61.28,79.64,5.33,2,4,2.22,Team Lead,50.69,-18.36,6.396
87.52,81.12,10.79,9.23,4,5,4.45,Employee,100.0,70.33000000000001,12.922
69.29,55.59,62.05,5.12,4,4,1.76,Employee,55.99,-6.459999999999994,7.167999999999999
68.26,55.61,69.11,5.29,7,2,2.35,Team Lead,68.14,-13.5,8.993
99.26,83.18,1.72,8.87,2,3,4.13,Employee,100.0,81.46000000000001,10.643999999999998
66.62,47.05,76.43,4.17,4,1,2.37,Team Lead,54.18,-29.38000000000001,5.837999999999999
98.38,97.82,19.78,9.47,12,3,4.11,Team Lead,100.0,78.03999999999999,20.834000000000003
61.88,59.73,64.44,5.06,14,2,2.02,Team Lead,79.88,-4.710000000000001,12.143999999999998
96.31,92.79,6.2,9.59,10,5,4.88,HR,100.0,86.59,19.18
78.02,73.22,54.42,7.18,12,3,3.2,HR,100.0,18.799999999999997,15.796000000000001
77.84,72.76,36.25,7.55,9,1,2.95,Team Lead,100.0,36.510000000000005,14.344999999999999
93.31,82.22,11.84,9.77,7,2,4.9,Employee,100.0,70.38,16.608999999999998
56.24,50.49,82.78,4.49,14,5,1.05,Manager,58.38,-32.29,10.776
83.93,70.92,34.12,6.2,1,5,3.93,Manager,78.12,36.800000000000004,6.820000000000001
60.9,57.26,84.26,5.98,9,1,1.59,Team Lead,69.4,-27.000000000000007,11.362
73.01,66.63,36.23,7.21,5,5,3.6,Employee,85.06,30.4,10.815
56.22,52.72,61.75,4.31,5,3,2.42,Employee,55.17,-9.030000000000001,6.465
62.82,46.02,60.41,5.64,12,1,1.84,Manager,76.84,-14.389999999999993,12.408
92.27,85.8,17.35,8.68,6,4,4.5,HR,100.0,68.44999999999999,13.888
94.49,90.42,4.8,8.43,1,4,4.15,Team Lead,100.0,85.62,9.273
60.01,45.0,64.05,4.14,7,4,1.11,Manager,47.93,-19.049999999999997,7.037999999999999
69.5,60.57,60.59,5.74,1,3,1.32,Team Lead,54.71,-0.020000000000003126,6.314000000000001
84.3,69.36,33.87,7.65,14,4,2.76,Manager,100.0,35.49,18.36
74.55,67.96,55.64,7.82,2,4,3.75,Manager,81.74,12.319999999999993,9.384
67.55,43.73,77.47,5.77,1,1,2.16,HR,54.15,-33.74,6.347
94.16,81.42,22.74,9.34,11,4,4.21,Employee,100.0,58.68000000000001,19.614
52.23,56.66,65.94,4.3,9,1,2.2,Employee,65.36,-9.280000000000001,8.17
81.88,72.02,50.41,7.24,1,4,3.55,Manager,79.98,21.61,7.964000000000001
61.43,63.64,66.12,5.62,7,1,1.32,HR,67.96,-2.480000000000004,9.554
65.72,61.56,70.5,5.18,11,1,1.81,Employee,75.73,-8.939999999999998,10.878
85.29,87.16,7.77,9.38,12,1,4.31,Employee,100.0,79.39,20.636000000000003
70.07,77.54,39.32,7.33,1,3,3.25,Employee,81.82,38.220000000000006,8.063
58.08,43.71,62.67,5.49,10,4,1.36,Team Lead,61.33,-18.96,10.98
74.21,71.7,30.46,7.98,12,2,2.58,Employee,100.0,41.24,17.556
57.73,41.28,71.93,5.02,8,2,1.72,Team Lead,58.17,-30.650000000000006,9.036
78.16,73.7,54.53,7.02,13,1,3.59,Team Lead,100.0,19.17,16.145999999999997
53.97,62.33,85.61,5.41,2,3,2.24,Team Lead,51.32,-23.28,6.492
97.53,90.34,15.8,8.6,1,2,4.84,Employee,100.0,74.54,9.46
50.59,50.22,85.34,5.42,3,1,1.67,Manager,50.09,-35.120000000000005,7.046
62.53,58.19,80.38,4.94,7,4,1.58,Manager,55.63,-22.189999999999998,8.398
73.84,67.26,46.82,6.67,5,5,3.08,HR,78.01,20.440000000000005,10.004999999999999
53.9,60.32,82.03,5.84,1,2,1.95,Team Lead,52.1,-21.71,6.424
57.62,61.58,74.9,4.19,14,1,2.37,HR,76.68,-13.320000000000007,10.056000000000001
85.72,97.27,2.64,9.5,12,2,4.13,Manager,100.0,94.63,20.900000000000002
67.58,56.01,64.92,4.35,2,4,1.96,Team Lead,48.26,-8.910000000000004,5.22
87.35,99.82,5.18,9.5,12,4,4.79,Employee,100.0,94.63999999999999,20.900000000000002
53.34,45.94,84.33,5.09,3,3,1.8,Team Lead,44.75,-38.39,6.617
50.11,42.99,78.18,5.98,1,2,2.07,HR,48.04,-35.190000000000005,6.578000000000001
84.75,74.35,35.23,6.54,1,4,3.06,HR,78.42,39.12,7.194000000000001
53.29,56.31,62.43,4.8,7,2,1.91,Employee,61.31,-6.119999999999997,8.16
74.1,74.7,51.73,6.91,1,5,3.95,Manager,76.92,22.970000000000006,7.601000000000001
56.32,55.48,61.49,4.53,7,4,2.08,HR,57.48,-6.010000000000005,7.7010000000000005
59.09,52.45,72.45,5.97,4,4,1.89,Manager,55.31,-20.0,8.357999999999999
80.87,77.06,50.79,7.16,1,4,3.19,Manager,78.94,26.270000000000003,7.876000000000001
95.16,84.48,13.63,8.54,11,4,4.47,HR,100.0,70.85000000000001,17.933999999999997
89.99,86.57,14.11,9.01,8,2,4.22,Team Lead,100.0,72.46,16.218
96.59,95.28,24.75,8.73,4,3,4.1,Employee,100.0,70.53,12.222
94.32,96.24,23.27,9.15,3,5,4.75,Manager,100.0,72.97,11.895000000000001
82.34,67.31,46.45,7.55,13,1,2.55,Manager,100.0,20.86,17.365
88.72,89.1,23.39,8.72,1,2,4.4,Team Lead,100.0,65.71,9.592000000000002
99.23,87.14,22.79,9.17,11,3,4.05,Manager,100.0,64.35,19.257
75.34,72.26,51.36,6.59,3,1,3.78,Manager,86.13,20.900000000000006,8.567
83.66,68.4,53.8,6.22,14,4,3.14,Team Lead,97.45,14.600000000000009,14.927999999999999
60.64,43.37,88.53,4.44,8,2,2.25,Manager,55.9,-45.160000000000004,7.992000000000001
61.01,40.39,73.26,5.32,6,2,1.28,Employee,53.71,-32.870000000000005,8.512
98.18,88.59,25.69,8.06,9,1,4.49,Manager,100.0,62.900000000000006,15.314
77.87,78.08,31.33,7.86,10,1,3.21,Team Lead,100.0,46.75,15.72
64.33,46.47,69.21,4.97,3,1,2.34,HR,56.75,-22.739999999999995,6.461
97.32,83.72,2.03,8.0,8,3,4.58,Manager,100.0,81.69,14.4
89.3,87.56,8.5,9.96,12,4,4.71,Manager,100.0,79.06,21.912000000000003
80.06,75.89,54.27,6.81,11,4,3.62,Manager,98.05,21.619999999999997,14.301
71.58,70.22,39.24,6.72,2,3,2.99,Team Lead,77.68,30.979999999999997,8.064
78.95,70.7,55.53,7.4,6,2,3.08,Team Lead,90.23,15.170000000000002,11.840000000000002
81.75,72.46,36.19,6.06,11,4,3.2,HR,95.25,36.269999999999996,12.725999999999999
64.73,59.34,79.98,4.83,5,3,1.18,Team Lead,52.03,-20.64,7.245
53.37,54.77,77.42,4.21,4,3,1.51,HR,44.89,-22.65,5.893999999999999
93.24,81.4,2.23,9.12,9,4,4.92,Team Lead,100.0,79.17,17.328
59.01,54.64,76.49,5.56,14,2,1.26,HR,73.97,-21.849999999999994,13.344
94.81,84.13,9.67,8.34,13,2,4.74,Employee,100.0,74.46,19.182
55.69,54.63,78.0,4.99,5,2,2.34,Manager,57.35,-23.369999999999997,7.485
74.24,75.19,44.18,7.78,10,5,3.06,Manager,96.47,31.009999999999998,15.56
96.67,90.35,11.2,8.73,11,2,4.37,HR,100.0,79.14999999999999,18.333000000000002
86.17,84.74,2.04,9.71,6,2,4.85,HR,100.0,82.69999999999999,15.536000000000001
80.98,69.51,41.19,6.7,6,2,3.04,Manager,89.53,28.320000000000007,10.72
97.29,82.34,3.45,9.75,4,1,4.19,Employee,100.0,78.89,13.649999999999999
61.75,59.54,76.9,5.16,13,2,1.72,Team Lead,74.33,-17.360000000000007,11.867999999999999
97.52,88.96,16.42,8.4,10,4,4.57,Manager,100.0,72.53999999999999,16.8
71.94,66.43,47.29,6.91,12,4,2.51,Team Lead,91.52,19.140000000000008,15.202000000000002
97.2,95.75,3.79,8.11,8,3,4.71,Manager,100.0,91.96,14.597999999999999
99.91,91.41,26.96,9.46,2,5,4.88,Manager,100.0,64.44999999999999,11.352
88.74,86.3,28.32,8.77,3,1,4.15,Manager,100.0,57.98,11.401
90.53,91.0,9.22,9.16,2,3,4.9,HR,100.0,81.78,10.991999999999999
78.44,72.66,58.1,6.96,2,5,3.71,Employee,77.13,14.559999999999995,8.352
99.14,94.19,18.81,9.11,3,4,4.02,Employee,100.0,75.38,11.843
80.05,72.04,50.59,7.0,12,3,2.54,HR,97.25,21.450000000000003,15.400000000000002
87.55,97.6,10.98,8.04,6,4,4.36,HR,100.0,86.61999999999999,12.863999999999999
98.11,81.56,25.19,9.08,3,2,4.78,Manager,100.0,56.370000000000005,11.804
71.41,79.67,49.56,7.32,7,2,3.73,Employee,97.07,30.11,12.444
89.61,98.1,21.21,8.07,3,4,4.79,Employee,100.0,76.88999999999999,10.491000000000001
91.82,80.59,9.49,9.51,12,5,4.73,Employee,100.0,71.10000000000001,20.922
71.2,69.18,44.06,7.57,2,2,2.97,Employee,82.44,25.120000000000005,9.084
84.37,65.26,58.53,7.34,7,2,2.66,Employee,88.94,6.730000000000004,12.478
50.46,47.36,76.74,5.85,6,4,1.15,Team Lead,50.5,-29.379999999999995,9.36
77.19,72.7,31.67,7.15,2,5,2.6,Manager,77.57,41.03,8.58
85.07,90.31,15.36,8.31,12,3,4.57,Employee,100.0,74.95,18.282000000000004
77.45,74.99,54.57,7.59,12,5,3.74,HR,100.0,20.419999999999995,16.698
64.12,50.19,68.08,5.44,12,5,1.53,Team Lead,66.31,-17.89,11.968000000000002
80.17,78.97,36.97,6.17,14,1,3.97,Employee,100.0,42.0,14.808
93.55,95.03,7.14,9.62,13,3,4.2,HR,100.0,87.89,22.125999999999998
66.27,62.63,68.3,4.26,5,4,1.37,Employee,51.84,-5.669999999999995,6.39
56.08,45.82,65.21,4.06,8,3,2.48,Team Lead,57.38,-19.389999999999993,7.308
61.46,60.49,69.8,4.7,8,5,1.89,HR,58.52,-9.309999999999995,8.46
75.05,66.26,52.2,6.52,10,2,3.79,Team Lead,95.71,14.060000000000002,13.04
75.51,72.73,36.31,6.9,12,5,2.54,Manager,94.67,36.42,15.180000000000001
97.51,97.04,8.56,8.96,13,3,4.2,HR,100.0,88.48,20.608
76.56,69.19,47.46,6.11,6,2,2.72,HR,82.54,21.729999999999997,9.776000000000002
96.34,87.08,19.14,8.34,13,2,4.58,HR,100.0,67.94,19.182
97.99,90.25,15.46,8.75,9,5,4.1,Employee,100.0,74.78999999999999,16.625
77.33,67.83,33.51,7.84,13,1,2.57,Manager,100.0,34.32,18.032
77.51,66.16,46.84,6.34,2,3,3.94,HR,79.25,19.319999999999993,7.608
52.28,41.93,60.75,4.23,12,5,2.41,HR,60.74,-18.82,9.306000000000001
70.16,75.27,51.58,6.31,8,4,3.95,HR,89.11,23.689999999999998,11.357999999999999
91.78,89.23,25.26,8.86,14,1,4.88,Team Lead,100.0,63.97,21.264
92.89,85.84,17.84,8.05,14,5,4.06,Manager,100.0,68.0,19.32
95.77,85.71,15.17,9.17,6,5,4.15,Team Lead,100.0,70.53999999999999,14.672
70.68,79.26,47.46,7.59,12,3,3.15,Manager,100.0,31.800000000000004,16.698
98.73,83.33,0.31,9.72,9,2,4.05,HR,100.0,83.02,18.468
63.11,45.74,68.11,4.2,8,5,1.62,Employee,50.98,-22.369999999999997,7.5600000000000005
65.17,48.44,84.49,4.11,7,3,1.5,Team Lead,49.99,-36.05,6.987
75.37,79.84,50.8,6.17,12,3,2.56,Team Lead,94.27,29.040000000000006,13.574000000000002
62.79,44.69,82.93,4.4,7,1,1.93,Team Lead,56.19,-38.24000000000001,7.48
50.05,54.35,78.75,4.45,12,2,1.28,Manager,61.73,-24.4,9.790000000000001
85.24,82.83,7.07,9.05,1,1,4.96,Employee,100.0,75.75999999999999,9.955000000000002
73.94,65.4,59.3,6.77,13,1,3.43,Employee,100.0,6.1000000000000085,15.570999999999998
68.71,56.64,67.95,5.14,12,1,1.66,Manager,76.6,-11.310000000000002,11.308
71.7,79.25,41.65,6.04,4,1,2.63,Team Lead,82.74,37.6,8.456
79.57,77.81,59.95,6.37,2,5,3.54,Employee,74.78,17.86,7.644
66.41,54.28,60.95,5.81,10,3,1.06,HR,69.02,-6.670000000000002,11.62
68.39,62.14,71.08,5.9,1,3,2.38,HR,58.95,-8.939999999999998,6.490000000000001
73.61,66.64,55.08,7.06,6,3,2.8,HR,82.71,11.560000000000002,11.296
59.28,48.14,78.21,5.35,7,1,1.24,Employee,58.58,-30.069999999999993,9.094999999999999
57.07,47.81,73.21,5.51,3,3,2.03,HR,51.68,-25.39999999999999,7.163
93.11,89.35,13.41,8.28,12,5,4.83,Team Lead,100.0,75.94,18.216
66.54,42.5,79.17,5.83,4,2,1.87,Employee,56.03,-36.67,8.161999999999999
85.25,98.53,16.24,9.94,11,4,4.12,Team Lead,100.0,82.29,20.874
90.14,82.73,17.92,8.56,5,5,4.04,Manager,100.0,64.81,12.84
70.12,69.63,31.47,7.25,7,2,3.41,Manager,95.39,38.16,12.325
97.02,98.87,2.95,8.53,11,3,4.5,Team Lead,100.0,95.92,17.913
89.47,89.12,2.14,9.6,6,4,4.24,HR,100.0,86.98,15.36
96.49,80.78,15.49,8.66,7,1,4.11,Team Lead,100.0,65.29,14.722
62.56,57.06,75.37,4.05,13,3,1.68,Employee,66.34,-18.310000000000002,9.315
96.27,84.22,12.3,8.78,1,4,4.3,Manager,100.0,71.92,9.658
54.13,57.37,76.63,5.99,8,4,2.4,Team Lead,65.38,-19.259999999999998,10.782
82.87,71.12,59.41,7.3,1,5,3.61,Manager,76.74,11.710000000000008,8.030000000000001
52.44,54.96,88.87,5.58,2,4,2.19,Manager,46.67,-33.910000000000004,6.696
